shoeId,shoeBrand,shoeCategory,shoeColour,shoeImage,shoePrice
63,Roces,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Blue,Black,Cream,CreamBlue,CreamBlack",https://i5.walmartimages.com/asr/9d79511a-3a7e-4fe8-8638-27472c870181_1.fe4506449fce5c7dd857ae50b14d1a42.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,99.7
64,Fabulicious,"Heels,Shoes,Women's Shoes,Fabulicious",Beige,http://ak1.ostkcdn.com/images/products/88/175/P17149292.jpg,63.95
65,Pelle Moda,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Silver,https://i5.walmartimages.com/asr/b45ea6c8-d2b5-4e95-ba8c-a6655a380ae7_1.f600352c0f94d98b0c89cf575901b333.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,135
66,Klogs,"Shoes,Women's Shoes,Clothing,All Women's Shoes","Blue,Black,Mahogany Smooth,Green,Black Hologram Patent,Black Smooth,Black Smooth Natural,Tigerberry,Pink Patent,Brown,Black Oiled",https://i5.walmartimages.com/asr/da189dc7-919b-4685-b8b5-c8b551b2adfa_1.4105c0603ab6e4c1b72751c9344ec46b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,109.95
67,Venettini,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Gray,https://i5.walmartimages.com/asr/7683c523-353f-4717-90e8-8b762c3a2c6c_1.a0e2b715bbd3ba809e334497bf24525e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,84
68,PleaserUSA,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black Stretch PU,Black Stretch Patent,White Stretch Patent",https://i5.walmartimages.com/asr/9b98ab1a-6644-48af-8322-770387809c58_1.374b186ccc5912740933e6a2592ea313.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,51.16
69,Journee Collection,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/25e635ad-a25e-4b2a-b9bf-c76f0566b8fb_1.9e87ca649d24b6f4b0ac59745341fd69.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,754.8
70,Studswar,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Blue,https://i5.walmartimages.com/asr/c0d797ef-aa86-407a-9d5b-26b37831f232_1.3caddb572cd5fd04d153ebb3cd6333de.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,59
71,Ann Creek,"Heels,Shoes,Women's Shoes,Ann Creek","Gold,Silver",http://ak1.ostkcdn.com/images/products/8462871/Gold-11-Gold-10-Gold-7-Gold-6-Gold-8-Gold-12-Gold-9-Gold-9.5-Gold-7.5-Gold-6.5-Gold-8.5-Ann-Creek-Womens-Abescon-Peep-Toe-Rhinestone-Heels-913d28df-7aec-4ba0-adbb-6ab17fdd3f16_80.jpg,113.49
72,Silver Lilly,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Dark Brown,Gray,Light Brown",https://i5.walmartimages.com/asr/44438ff3-7831-4ba6-97e7-fd20c0c84e10_1.c282097d7534bc13b093faf045bc76fe.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,23.99
73,Patagonia,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Pink,https://i5.walmartimages.com/asr/f236aa42-3610-4b02-96b5-a4e9c1976223_1.7c8600ccfd61413c16abcb6c9a1fe5d8.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,50
74,DAWGS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",White,https://i5.walmartimages.com/asr/a59d6e6d-3e05-4918-900b-92f7d7bf8839_1.7d92af68dcf0db529a8548745f2f4acb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,10.19
75,CCILU,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Azure,Black,Cerise,Orange",https://i5.walmartimages.com/asr/4f81f0f6-9a87-40e3-a726-4214450b8f9b_1.e859484c7670d8006b1b0b6785874dac.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,90
76,Tommy Hilfiger,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Silver,"https://i5.walmartimages.com/asr/6f9b11c5-4bcf-4884-95c8-f0f776d704de_1.4d2b3016baa6a263268edd81cfd6dbfc.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/fd8dda43-ca0a-475f-b133-c13a268d6640_1.47beb2e28a5aaf45674c7f84dc01ecef.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",89
77,TIARA,"Shoes,Clothing,Women's Shoes,All Women's Shoes","White,Tan,Black,Gold",https://i5.walmartimages.com/asr/5b3d5f15-eb84-4a4c-91cb-82506c9f9580_1.784a047d04f92ab4bf6204bba7f5d3fa.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,17.95
78,Cvs,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Black with Black,White with Black","https://i5.walmartimages.com/asr/1889d3bc-a293-4d42-9d1c-78c6b34c50e9_1.1ee2a9b18f6d7e692cf2537bc1cd4714.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/3966e493-7910-4fca-83da-3c792b2da434_1.1ee2a9b18f6d7e692cf2537bc1cd4714.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/96762c13-af14-4d13-a229-bd2f97245924_1.1ee2a9b18f6d7e692cf2537bc1cd4714.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",29.99
79,SHELLYS LONDON,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Brown,"https://i5.walmartimages.com/asr/f5f429d5-a3ac-4528-991f-5c0e14d6891e_1.ae28c93a67df60b467217bb86bf6dd05.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/a9653751-b243-49f1-8c25-a47fe18aa2cb_1.71fcc54f7adf7c215a93ab026abd92c7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/1ae91d26-2055-42c6-9e1b-c924f4188e25_1.61f02f9c5e2f11f11561d3c73d143466.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,http://i5.walmartimages.com/dfw/dce07b8c-5398/k2-_98abd589-bee9-444d-9969-b6d6b3405268.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/dfw/dce07b8c-6f02/k2-_3179323e-0c2c-437c-88d4-bbaab6bfe9a0.v1.jpg",100
80,Easy Spirit e360,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/18663eab-7cf2-4f42-9bb7-8b9c8ffd6fb0_1.2341570aee2fd8b18b3061e0548ef734.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,79
