shoeId,shoeBrand,shoeCategory,shoeColour,shoeImage,shoePrice
17,BareTraps,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/55fc9ec2-7cba-48fa-b8c1-d9e1ebac6c5c_1.f16acaf43b95380059d953e261c534c0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
19,Dr. Weil,"Clothing,Shoes,Women's Shoes,All Women's Shoes",WhiteBlue,https://i5.walmartimages.com/asr/5dba9552-2391-40f3-a679-7778898ebc34_1.b19124771c3db81acf6c0d5fc0518956.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,109.99
22,Easy Spirit,"Women's Casual Shoes,Shoes,Women's Shoes,Clothing,All Women's Shoes",BlackBlack Suede,https://i5.walmartimages.com/asr/e90e7737-0170-4a7b-abf9-d2bcc7a6791a_1.205c0006cbf190d494652e2796cc5081.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,89
24,kate spade,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Multicolor,https://i5.walmartimages.com/asr/25c3be06-f219-4951-b867-2d3e78dbee6e_1.5be3f3976e03f9ae571b524622c85863.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,328
25,Giro,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/fc3df7da-0540-48ff-bd0c-686944a5034c_1.55741983024067947d8282e7678ce76b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
26,G BY GUESS,"Women's Sandals,Shoes,Women's Shoes,Clothing",Light Natural,https://i5.walmartimages.com/asr/6cee9288-80a4-4f4e-9d4e-cec1c34e9e1b_1.22e82224f90e0dca1af338cf04d7aed3.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,33.54
27,Indigo Rd.,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,"https://i5.walmartimages.com/asr/4046f170-ba90-4872-8ccb-e32aa39a74c9_1.639050466b86bd7b07812d3da53c2958.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/6cc2fa5e-89c5-412c-af48-0c38805596d3_1.a0ff75b349294288df70559f30928a01.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",99
28,ELLIE SHOES,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Clear,https://i5.walmartimages.com/asr/8f54b245-1760-443a-be88-0780279057f2_1.270ef82811d2fb0e8af39a47a333d883.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,62.96
29,Ellie,"Heels,Shoes,Women's Shoes,Ellie","Black,White,Black White",http://ak1.ostkcdn.com/images/products/8546462/Ellie-Womens-Leelo-527-Dual-Platform-Stiletto-Heels-8e9169f7-4f33-47ac-b7d4-9ec84a90347b_80.jpg,116.99
30,Touch Ups,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Gold,https://i5.walmartimages.com/asr/746ea86a-c104-478a-a284-1cf13bebcdbb_1.4c8334d5ec6b672b88283f75db46394b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,38.14
31,MICHAEL Michael Kors,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black,Natural",https://i5.walmartimages.com/asr/9b2ade3f-dbd9-48ba-aded-3c584fa41874_1.f33ef951987b4157b275aef5ef880ad0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,54.99
33,Lamo Sheepskin Inc,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Black,Grey,Pink,Chocolate,Chestnut",https://i5.walmartimages.com/asr/b672978f-d06a-4641-b044-55b48626b2e1_1.ee463c3f98a7c4bacb22d4f3506c5968.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,31.99
34,Nina,"Heels,Shoes,Women's Shoes,Nina",Silver,http://ak1.ostkcdn.com/images/products/10700937/Nina-Womens-Carrie-Synthetic-Dress-Shoes-78b914c3-efc7-43d8-a18f-02016092640e_80.jpg,51.99
36,"Pleaser USA, Inc.","Shoes,Women's Shoes,Clothing,All Women's Shoes",Black Pu,https://i5.walmartimages.com/asr/7efec2a5-7b28-43f1-89f2-57d026e38f0b_1.d22c5592cc4160b3c1703efe7c55510f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,27.33
37,Badgley Mischka,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Silver,https://i5.walmartimages.com/asr/ac4c316f-4bc1-4a99-ab71-e7dee02c70c0_1.3f76a62b9d816ccdbb6c2d2ff1b9a4df.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,260
41,Mia,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Cognac,White",https://i5.walmartimages.com/asr/8eaaabc4-fddd-4830-aa21-9bb1fc34bc78_1.e176ebe43064ef75131cea292011b46b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,59
43,2 Lips Too,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/5fc6e872-3c79-40e3-8403-8091760798b2_1.7665540870ae56ef0e6d1ac49b8cb1a8.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,40
45,Aerosoles,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Dark Silver Leather,White,Dark Tan Leather,Grey,Blue Combo,Gray",https://i5.walmartimages.com/asr/b0b21ac9-3dbc-41e2-9008-de72a1f3b200_1.2e5a36171c78b960fbc3410cae507dd6.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,35.34
47,Karen Scott,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,"https://i5.walmartimages.com/asr/6f448ba3-76c6-42dc-8b2d-5b6f645e1201_1.12742f135bbb695b6808b1e984803549.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/9a0bf085-8b90-417c-8f8d-d326a1bb62ea_1.db92ae73979c62f3c74b94f9c760bf68.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",40
48,Oofos,"Women's Sandals,Shoes,Women's Shoes,Clothing",Fuschia,https://i5.walmartimages.com/asr/5208700f-90ee-4219-b04f-706dadc8637e_1.0816de15e89dbea576e71c1ef3662b16.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,44.95
50,Tenth Frame,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes","Green,Yellow,YellowGreenOrange,Orange",https://i5.walmartimages.com/asr/670e30d7-6915-4531-b72d-6373554b04fd_1.77e4dfb5b28c0404a799742531030c37.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,38.95
53,The Flexx,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Black,https://i5.walmartimages.com/asr/611d9d1f-3e9a-4ebd-862a-6ee1d5a3d3c1_1.d8dee2b4dc2248937f6db950dade626c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
54,FS/NY,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Orange,https://i5.walmartimages.com/asr/ef9330eb-f46a-4dc5-a1ef-9cb63ceaeb6c_1.3fcafcbcaf4fc3cdf6072601b4453182.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,195
55,VANS,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Green,"https://i5.walmartimages.com/asr/562a15e8-632a-40d6-89e8-5c58425232fe_1.ad78b039a0be11448c204a65aaa3cef4.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/0e90c499-0c64-46b7-a713-2f81496fe162_1.5f544620b833ad64562d93c31dacd78f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",50
57,Rampage,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/7aeedab6-5b74-4071-b08f-f25d48ecaef8_1.1d1b82a6f932591bfbea50a4b1630ba0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,40
58,Gentle Souls,"Shoes,Women's Shoes,Clothing,All Women's Shoes","Grey,Gray",https://i5.walmartimages.com/asr/925e527e-6f89-463c-beaf-d021b74010da_1.2d5730b29b9d1521fd33c0a401ab4b63.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,280
59,Thalia Sodi,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Pink,https://i5.walmartimages.com/asr/eb1240dd-2f07-463e-a130-ea10ec9af3e1_1.434fc8a5c80d151c15e101e4dbd3ed4b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,59
60,Everybody By BZ Moda,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Green,https://i5.walmartimages.com/asr/0fa87079-9624-473a-bbfd-1c6d110a37ae_1.f69181ac5aa97ceebde3fab1a4d80a89.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,230
61,Eric Michael,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/a47dbddb-d8f4-4747-bbc4-8c4c4677e2f4_1.ac54dd3c753c9873163f32d41345bd80.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,290
62,Charles By Charles David,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Gray,https://i5.walmartimages.com/asr/9d4b0bab-212c-4ef9-a217-1a779a86f51c_1.1bb339622411650f430f39b90448f2f0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,99
63,French Connection,Women's Shoes,Summer White,"http://i.ebayimg.com/images/g/8rgAAOSwv9hW4tS~/s-l300.jpg,http://i.ebayimg.com/13/!!d3kQWgC(M~$(KGrHqUOKm4Ey2UtWhbuBM0wkveuug~~_10.JPG",21.99
64,Tretorn,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Black,https://i5.walmartimages.com/asr/14ad6492-239e-446f-ae9c-50b4f4e1855c_1.443de24ba0a20d90e7e2629d33774fdb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,40
66,Henry Ferrera Collection,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Silver,https://i5.walmartimages.com/asr/72f49b7e-0511-4e1e-98a4-f74d7ad5b2d8_1.60ca2a85c36d42c9d596d0641938c500.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,40
67,Qupid,"Women's Sandals,Shoes,Women's Shoes,Clothing","Green Pu,Red PU",https://i5.walmartimages.com/asr/b83ecf96-e92f-48ae-bbc9-3387fc5f201c_1.dc58a83ce02962a59fbd8059206b79c4.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,39.95
68,Justin Boots,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Cowboy Boots","Brown,Copper Kettle","https://i5.walmartimages.com/asr/1f87eed0-5c59-4125-9713-93b504151ad8_1.5700d4a8f88ccf53dfc26122309a25a7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,http://s2.shoes.com/images/br462/womens-justin-boots-silver-svl7313-12-inch-copper-kettle-478918_366_45.jpg",210
69,C Label,"Flats,Shoes,Women's Shoes,C Label","Black,Blue,Brown,Red",http://ak1.ostkcdn.com/images/products/11141693/Beston-AB11-Womens-Glitter-Slip-On-Espadrilles-6e3cafe0-d94a-456e-8a55-ae3a8f6e8b01_80.jpg,41.99
70,Bare Traps,"Women's Sandals,Shoes,Clothing,Women's Shoes",Mint,https://i5.walmartimages.com/asr/791eda7a-d417-400c-9eaf-9526c25ee385_1.138b3a82e17125267614c90bf869d696.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,36.59
71,Material Girl,"Clothing,Shoes,Women's Shoes,Women's Sandals","Black,Blush,Coral,MINT,Pink",https://i5.walmartimages.com/asr/c96f87e7-d882-46e8-b9b5-64dca1add396_1.b2659e4e77f95b4dec00102e93473481.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,26.99
73,Bellini,"Loafers,Shoes,Women's Shoes,Bellini",Red,http://ak1.ostkcdn.com/images/products/93/331/P17658622.jpg,78.95
74,Vaneli,"Shoes,Wedges,Women's Shoes,Clothing,All Women's Shoes","Black Suede,Cuoio Suede",https://i5.walmartimages.com/asr/46db0d06-b9f8-4172-8519-510c2f30acb6_1.d641bee827b5fb0a0badce774f11042a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,194.95
76,Two Lips,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Silver,https://i5.walmartimages.com/asr/bbd8d4af-7388-42ba-b5db-50107aae26b4_1.25c33cc893ebfbffd6d1302f95b29dd9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
77,Unique Bargains,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Red,https://i5.walmartimages.com/asr/c743683e-8af1-4a16-a8c7-4e2c05f9f261_1.503bc1438a42a7ea3c44086f806128df.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,70.99
78,Minnetonka,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/590077d0-5ce6-4855-94a9-d6d84129bde0_1.a0a8fa8d0a54f7f26d12c37053199f27.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,35
79,Via Spiga,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Tmoro,https://i5.walmartimages.com/asr/a30df609-7628-4311-be19-47007fb63c44_1.d5a6ef3d7b47559bb34ea5923a93981f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,98.99
82,Finn Comfort,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Sandals","Black Leather,Black Points Leather,Cognac Plisseelight Leather,Lake Nubuck Vienna,Light Red Leather,Mint Leather,Old Brass,Stone Leather,Taupe Equipe Leather,Taupe Equipe","https://i5.walmartimages.com/asr/5e45e2a1-6aef-469b-9963-e61736fed42d_1.a2a0c8ad4f7c214f5c22e0c9dc3c471c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,http://s3.shoes.com/images/br305/342812_366_45.jpg",254.95
84,Saucony,"Clothing,Shoes,Women's Shoes,All Women's Shoes",WhiteGrey,https://i5.walmartimages.com/asr/57b2b701-066e-4fa6-ab00-0c51484d6ce0_1.33e63c95a04bda189d33d78d06a79821.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
85,Kenneth Cole Reaction,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Coral,Marine",https://i5.walmartimages.com/asr/578ec226-c1da-4d09-bac0-c66fa02d2f97_1.a982d78fe701b7c16ddfc5a975b3a78f.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,78.93
86,EasyComforts,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Light Blue,https://i5.walmartimages.com/asr/810836e5-c965-4e8b-9a4a-0947c33d1f40_1.ed66b9185fa2f91450fc5e3b39d50a8b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,28.79
87,M.G.,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/a057396e-67f8-4782-8656-6c84d429f261_1.8454431c1861c4cc81cbe7aeef12ae62.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,80
89,L.A. Beauty,"Shoes,Women's Shoes,Clothing,All Women's Shoes","White,Blue,Red,Black,Gold,Copper,Silver",https://i5.walmartimages.com/asr/38f183c4-342a-44b0-9f12-c63291e1a0ee_1.6ceaaaa2cc0ae7f4ecae18dbf7388821.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,9.99
90,Elites by Walking Cradles,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/313bacc5-0ec6-49fd-bf50-76c744c86a1a_1.255bd3fff05dfb703ce5acb4fc7c7012.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,44.99
91,Roces,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Blue,Black,Cream,CreamBlue,CreamBlack",https://i5.walmartimages.com/asr/9d79511a-3a7e-4fe8-8638-27472c870181_1.fe4506449fce5c7dd857ae50b14d1a42.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,99.7
92,Fabulicious,"Heels,Shoes,Women's Shoes,Fabulicious",Beige,http://ak1.ostkcdn.com/images/products/88/175/P17149292.jpg,63.95
94,Pelle Moda,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Silver,https://i5.walmartimages.com/asr/b45ea6c8-d2b5-4e95-ba8c-a6655a380ae7_1.f600352c0f94d98b0c89cf575901b333.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,135
95,Klogs,"Shoes,Women's Shoes,Clothing,All Women's Shoes","Blue,Black,Mahogany Smooth,Green,Black Hologram Patent,Black Smooth,Black Smooth Natural,Tigerberry,Pink Patent,Brown,Black Oiled",https://i5.walmartimages.com/asr/da189dc7-919b-4685-b8b5-c8b551b2adfa_1.4105c0603ab6e4c1b72751c9344ec46b.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,109.95
96,Venettini,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Gray,https://i5.walmartimages.com/asr/7683c523-353f-4717-90e8-8b762c3a2c6c_1.a0e2b715bbd3ba809e334497bf24525e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,84
97,PleaserUSA,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black Stretch PU,Black Stretch Patent,White Stretch Patent",https://i5.walmartimages.com/asr/9b98ab1a-6644-48af-8322-770387809c58_1.374b186ccc5912740933e6a2592ea313.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,51.16
98,Journee Collection,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/25e635ad-a25e-4b2a-b9bf-c76f0566b8fb_1.9e87ca649d24b6f4b0ac59745341fd69.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,754.8
99,Studswar,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Blue,https://i5.walmartimages.com/asr/c0d797ef-aa86-407a-9d5b-26b37831f232_1.3caddb572cd5fd04d153ebb3cd6333de.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,59
100,Ann Creek,"Heels,Shoes,Women's Shoes,Ann Creek","Gold,Silver",http://ak1.ostkcdn.com/images/products/8462871/Gold-11-Gold-10-Gold-7-Gold-6-Gold-8-Gold-12-Gold-9-Gold-9.5-Gold-7.5-Gold-6.5-Gold-8.5-Ann-Creek-Womens-Abescon-Peep-Toe-Rhinestone-Heels-913d28df-7aec-4ba0-adbb-6ab17fdd3f16_80.jpg,113.49
101,Silver Lilly,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Dark Brown,Gray,Light Brown",https://i5.walmartimages.com/asr/44438ff3-7831-4ba6-97e7-fd20c0c84e10_1.c282097d7534bc13b093faf045bc76fe.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,23.99
102,Patagonia,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Pink,https://i5.walmartimages.com/asr/f236aa42-3610-4b02-96b5-a4e9c1976223_1.7c8600ccfd61413c16abcb6c9a1fe5d8.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,50
103,DAWGS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",White,https://i5.walmartimages.com/asr/a59d6e6d-3e05-4918-900b-92f7d7bf8839_1.7d92af68dcf0db529a8548745f2f4acb.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,10.19
104,CCILU,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Azure,Black,Cerise,Orange",https://i5.walmartimages.com/asr/4f81f0f6-9a87-40e3-a726-4214450b8f9b_1.e859484c7670d8006b1b0b6785874dac.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,90
105,Tommy Hilfiger,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Silver,"https://i5.walmartimages.com/asr/6f9b11c5-4bcf-4884-95c8-f0f776d704de_1.4d2b3016baa6a263268edd81cfd6dbfc.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/fd8dda43-ca0a-475f-b133-c13a268d6640_1.47beb2e28a5aaf45674c7f84dc01ecef.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",89
106,TIARA,"Shoes,Clothing,Women's Shoes,All Women's Shoes","White,Tan,Black,Gold",https://i5.walmartimages.com/asr/5b3d5f15-eb84-4a4c-91cb-82506c9f9580_1.784a047d04f92ab4bf6204bba7f5d3fa.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,17.95
108,Cvs,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Black with Black,White with Black","https://i5.walmartimages.com/asr/1889d3bc-a293-4d42-9d1c-78c6b34c50e9_1.1ee2a9b18f6d7e692cf2537bc1cd4714.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/3966e493-7910-4fca-83da-3c792b2da434_1.1ee2a9b18f6d7e692cf2537bc1cd4714.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/96762c13-af14-4d13-a229-bd2f97245924_1.1ee2a9b18f6d7e692cf2537bc1cd4714.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF",29.99
110,SHELLYS LONDON,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Brown,"https://i5.walmartimages.com/asr/f5f429d5-a3ac-4528-991f-5c0e14d6891e_1.ae28c93a67df60b467217bb86bf6dd05.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/a9653751-b243-49f1-8c25-a47fe18aa2cb_1.71fcc54f7adf7c215a93ab026abd92c7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,https://i5.walmartimages.com/asr/1ae91d26-2055-42c6-9e1b-c924f4188e25_1.61f02f9c5e2f11f11561d3c73d143466.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,http://i5.walmartimages.com/dfw/dce07b8c-5398/k2-_98abd589-bee9-444d-9969-b6d6b3405268.v1.jpg?odnHeight=450&odnWidth=450,http://i5.walmartimages.com/dfw/dce07b8c-6f02/k2-_3179323e-0c2c-437c-88d4-bbaab6bfe9a0.v1.jpg",100
112,Easy Spirit e360,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/18663eab-7cf2-4f42-9bb7-8b9c8ffd6fb0_1.2341570aee2fd8b18b3061e0548ef734.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,79
114,Pleaser Shoes,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black,Blk Str Pat,White Stretch Patent",https://i5.walmartimages.com/asr/dae9a4d7-72fe-4edf-9a91-3ccdbcfdd0eb_1.7ebd06541ffb64f61568eb0c892a74df.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,57
116,Lowa,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green,https://i5.walmartimages.com/asr/8a7c4832-8a10-4149-b978-5b4e665104bf_1.af04d599aefdde2dc60b70a5ffa8a82e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,810
117,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Vanilla,https://i5.walmartimages.com/asr/fd80247c-a7e6-4f20-8c1c-c7e5fb1d1128_1.006fb3141fa4626812aae0f51ea8b32c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,65
